plate id,solution,Concentration 1,Concentration 2,Concentration 3,Concentration 4,Position 1,Position 2,Position 3,Position 4
Plate 2,E10_2,8,40,200,1000,J20,J19,J18,J17
Plate 2,F10_2,8,40,200,1000,L20,L19,L18,L17
Plate 2,G10_2,8,40,200,1000,N20,N19,N18,N17
Plate 2,H10_2,8,40,200,1000,P20,P19,P18,P17
Plate 2,A11_2,8,40,200,1000,A24,A23,A22,A21
Plate 2,B11_2,8,40,200,1000,C24,C23,C22,C21
Plate 2,C11_2,8,40,200,1000,E24,E23,E22,E21
Plate 2,D11_2,8,40,200,1000,G24,G23,G22,G21
Plate 2,E11_2,8,40,200,1000,I24,I23,I22,I21
Plate 2,F11_2,8,40,200,1000,K24,K23,K22,K21
Plate 2,G11_2,8,40,200,1000,M24,M23,M22,M21
Plate 2,H11_2,8,40,200,1000,O24,O23,O22,O21
Plate 2,A12_2,8,40,200,1000,B24,B23,B22,B21
Plate 2,B12_2,8,40,200,1000,D24,D23,D22,D21
Plate 2,C12_2,8,40,200,1000,F24,F23,F22,F21
Plate 2,D12_2,8,40,200,1000,H24,H23,H22,H21
Plate 2,E12_2,8,40,200,1000,J24,J23,J22,J21
Plate 2,F12_2,8,40,200,1000,L24,L23,L22,L21
Plate 2,G12_2,8,40,200,1000,N24,N23,N22,N21
Plate 2,H12_2,8,40,200,1000,P24,P23,P22,P21
